,flt12_buy.csv,flt12_sell.csv,flt1_buy.csv,flt3_buy.csv,flt3_sell.csv,flt6_buy.csv,flt6_sell.csv,flt9_buy.csv,flt9_sell.csv,average
1999M07,0.003141162175605868,0.0007521569007873283,0.04281371749130048,0.015200819955246817,0.023319723086317485,0.0020946792669200736,0.0045983692274671,-0.0020376011545893725,-0.003530793308437256,0.009594692626735393
1999M08,0.007576925812719968,0.0012953615555436272,0.021467329636922997,0.025476807613713494,0.01429872353931103,0.007355624589919835,0.003441037006430015,0.002531599390904194,-0.0021487686882068436,0.009032737828584258
1999M09,0.01292525857580242,0.0022330105703785466,0.021430704722796505,0.03160855171678081,0.014671167940414235,0.00974122339127733,0.004155638619499313,0.008226569333694055,-0.001232097120566536,0.011528891972230743
1999M10,0.011741376203348811,0.0010162726001269934,-0.002024386510900358,0.011112071739555689,0.003854919004413521,0.004491370785493486,0.001361453029171203,0.006827798790287023,-0.0015470691776630597,0.004092645162648145
1999M11,0.017970527153594935,0.0029530884018669134,0.02280963372919673,0.012004898829364445,0.015028591305005987,0.008148802302156487,0.004697250930551733,0.013073650153104573,-0.0005299065328119123,0.010684059585781098
1999M12,0.020375937624857395,0.002717606965157637,0.010462544634826836,0.007883998709181016,0.009989241371483895,0.008964749602395529,0.0036190262645641015,0.011899021497374955,-0.00034702492244751315,0.008396122416377095
2000M01,0.018778737075637646,0.002245370262983812,0.0016613752063604089,0.008792652788639364,0.005893490476545205,0.0044334210879271915,0.002545762340208023,0.007295482746984642,-0.0004765907531837044,0.0056855223591225105
2000M02,0.02586212020399154,0.004447059503774898,0.02495385004141996,0.01001773539734409,0.01706265128376319,0.0056144311662210365,0.006091923867797605,0.011581632591737577,0.0008365416233077377,0.011829771742150849
2000M03,0.018932601876550846,0.002752780303969177,-0.0003960052651861566,0.005081269461069712,0.005125652530209927,0.003140763063202549,0.002735870459753053,0.010132566870453236,9.67541687576508e-05,0.005289139274308889
2000M04,0.004301142224529169,-0.0008410127843810958,-0.044642862606947206,-0.015517862121730515,-0.01580380687770603,-0.0024328518771834524,-0.0035267664813761843,-7.904386670496387e-06,-0.0017976439915924692,-0.008918840989228698
2000M05,0.011015840523124465,0.0028252547620554584,0.04677011409070685,0.01485861539072865,0.008272060408462421,0.0017917112273832317,0.003315444238850769,0.0031287217399046966,-9.206721727006781e-05,0.010209521684882943
2000M06,0.01481474480971837,0.004861836144031437,0.025368097149346094,0.027013260185334755,0.01738982842717869,0.005142080106473748,0.006332082583217377,0.004501569473275403,0.0011510145812055569,0.011841612606642384
