,mom1.csv,mom12.csv,mom3.csv,mom6.csv,mom9.csv,average
2001M11,-0.002752290296666127,-0.0032788655366804403,-0.0011840539100023964,-0.0010447664295955646,-0.0020475499866255712,-0.0020615052319140196
2001M12,-0.00017975600370858454,-0.003176017420863821,-0.000549223439933925,-0.0015623404424112424,-0.001903758905108088,-0.001474219242405132
2002M01,0.0005240351637781058,-0.0035385022590461394,-0.0010145720516535014,-0.0024246145488960166,-0.001634140588481769,-0.0016175588568598642
2002M02,0.0014023632083318641,-0.003966746718005266,-0.0023920984440795666,-0.00289383608124298,-0.0014481729398483337,-0.0018596981949688563
2002M03,-0.00037686990225501755,-0.0040179242769215265,-0.002144938676026976,-0.00208439459915107,-0.0013249692365881122,-0.001989819338188541
2002M04,0.00106966936943595,-0.004179288309734555,-0.0019946039104077554,-0.0025514320022992703,-0.0008615942591997553,-0.001703449822441077
2002M05,0.0017725829879354138,-0.0037779542926961287,-0.0016944766422683603,-0.0036680995082422163,-0.00030292193830985174,-0.0015341738787162285
2002M06,0.0013895703288814764,-0.0038300794524949045,-0.0018408658542490167,-0.0035193347813045773,-0.00010452392199335908,-0.0015810467362320762
2002M07,-0.0017188263417651363,-0.003999653682540892,-0.0011595073983666892,-0.00289965912934365,-0.0004935210404583343,-0.0020542335184949405
2002M08,-0.0017502449424072301,-0.003927418544573416,-0.0001992855351412119,-0.0019164336793137129,-0.0005826949453678528,-0.001675215529360685
2002M09,0.0011523159621258463,-0.0035482994753625475,-5.877132302368446e-05,-0.0021759873816938357,-0.0002515478491469138,-0.0009764580134202271
2002M10,-0.001026379644194227,-0.003521294646602393,-0.0003198181127881487,-0.0014711760412881275,-0.0006253774488359328,-0.0013928091787417658
2002M11,0.0003344331175179933,-0.0037835252930677682,-0.0008897986445489362,-0.0009330561912738096,-0.0007362276015930089,-0.001201634922593106
2002M12,0.0020910395177173415,-0.0035337563986203562,-0.0009527978902047977,-0.0009934864844635429,-0.00019673295296386605,-0.0007171468417070443
2003M01,0.004650965057137653,-0.002839177345576326,-0.0018558513593479621,-0.0024197991343406344,0.0008316752385378007,-0.00032643750871789366
2003M02,0.0003030842811506095,-0.002619817067970002,-0.0016530098122689574,-0.0028210729790325243,0.0004893281519329904,-0.0012602974852375767
2003M03,-0.0033570513797856706,-0.002912317485041477,-0.0006031990137532286,-0.001803268018313308,-0.0006775248025271466,-0.001870672139884166
2003M04,-0.0027461901337168856,-0.002776707611822516,0.0013528637150600218,-0.0014327784874413616,-0.0009695356400223363,-0.0013144696315886156
2003M05,0.004953693516929391,-0.002558358523332784,0.00018213515332233672,-0.0024618075495806534,0.0003743794925283212,9.800841797332228e-05
2003M06,-0.00030251251326751205,-0.0024095583965574098,-0.0009239807024524181,-0.001586429454070518,2.7472683723331272e-05,-0.0010390016765249052
2003M07,-9.759978253318755e-05,-0.0025107963297732174,-0.0017767758723789347,-0.00010933475115806903,0.00010519356575449691,-0.0008778626340177823
2003M08,0.0018071663027566939,-0.0025292099142814484,-0.00039089368956967904,-0.0005081999993562225,0.0004872576867709813,-0.000226775922735935
2003M09,0.003495564973973448,-0.002104028301875059,-0.0014118734548470076,-0.0023619131137032276,0.0010583977122344346,-0.00026477043684348234
2003M10,2.9093685919837287e-05,-0.0021384734203021257,-0.001384834458067754,-0.0030433019368425766,0.00011223010103506156,-0.0012850572056515113
2003M11,0.0023547828185348837,-0.0017783915650169426,-0.0011999289664058072,-0.0017481561000493933,0.0006289825062061616,-0.0003485422613462196
2003M12,0.0040536101581823795,-0.0010547488953779039,-0.0008019305852687412,-0.0022862583967492136,0.0024098293653357513,0.0004641003292244544
2004M01,0.0032152546802856597,-0.0006185130101307916,-0.0010956862191124853,-0.0023061289761756813,0.0040548935155755444,0.0006499639980884492
2004M02,-0.0003354072353546722,-0.0008047091007056073,-0.0005370923472583765,-0.0018893301385192918,0.0022813852990701254,-0.00025703070455356447
2004M03,0.0027330526243310865,-0.00024360898331771434,2.9947836360786294e-05,-0.0012261701356199503,0.003161991252778465,0.0008910425189065346
2004M04,4.811360871264693e-07,-0.00032850952742392717,0.0006706585821120437,-0.0012277535075056623,0.0028317002654651476,0.00038931538974694565
2004M05,-0.005322192365327985,-0.0016020818787424785,0.0014240798775798642,-7.971179220807149e-06,0.0004242300194665117,-0.0010167871052489787
2004M06,0.001606045206224686,-0.0015084455264413703,0.0017233845944701928,0.0006622944259340724,0.00015423182880642736,0.0005275021057988017
2004M07,0.002227512852623521,-0.0013226994349628807,0.0012889022907368536,0.0009465505321084663,0.0006098506630601772,0.0007500233807132275
2004M08,0.0017755593279943883,-0.0011557577234886027,-0.00042619286522646517,0.0004548193235408965,0.0005370554813233319,0.0002370967088287098
2004M09,0.0007239455617521365,-0.001141304410609614,-0.00013120619549369754,0.0009553319538587931,-7.048537314192487e-05,6.725630727313865e-05
2004M10,0.004040815428269584,-0.0007903348649951033,-0.00026765722000875473,5.7991285262821144e-05,0.00026993973273952104,0.0006621508722536137
2004M11,0.004246631242658295,-0.0003550976911634132,-0.00035411188005859376,-0.0020927420633497294,0.0012218411398376024,0.0005333041495848322
2004M12,0.00042892442431031395,-0.0005553170372794699,-0.00029620207369782364,-0.0017066168954171347,0.0007244352295389088,-0.0002809552705090411
2005M01,-0.0025332482401217923,-0.000947791964787894,0.0009268532877779628,-0.0006853742269777399,9.269734795379846e-05,-0.000629372759231133
2005M02,0.0014979783315846882,-0.0008664475635209404,0.0015850005923703152,-0.0004878500957151247,0.0012443213374501243,0.0005946005204338124
2005M03,0.002610720601443123,-0.0007670969625355112,0.0011306248745285362,-0.000831217208405568,0.0015029181972887697,0.00072918990046387
2005M04,-1.3706528803186075e-05,-0.0008135558452303947,0.0004734617435842129,0.0003205001922074797,0.0009513999296986062,0.00018361989829134362
2005M05,-0.0004060617180010207,-0.000770365450268365,0.0008983741166898953,0.001529285113013396,0.00045517663181318896,0.00034128173864941895
2005M06,0.0025638471230347635,-0.0005999375644886214,0.0009819573950799094,0.0009842310393154592,0.0008411948544544627,0.0009542585694791947
2005M07,-0.0006086450495818203,-0.0007984976930556034,0.0010617103738019336,0.0003826706469640452,-7.364360526771513e-05,-7.281065427831992e-06
2005M08,0.0026399750301098943,-0.0006528987704119353,0.0003548457189343761,0.00014144724083408505,-0.00021215272743957755,0.00045424329840536857
2005M09,0.0034763326751185864,-0.00038040221141570423,0.0002986395713140028,4.393962875703559e-05,0.00042316748279134397,0.000772335429313053
2005M10,0.003793901456009695,-0.00018324826908091104,-0.0004877512918634813,-0.0007784154502925478,0.0015615143305760962,0.0007812001550697702
2005M11,0.0024363889049187613,-0.00019136391364744172,-0.00015980689164696326,-0.001313857996908683,0.0017642430056550066,0.0005071206216741359
2005M12,0.006805809149709668,0.0005366565838023143,0.00012822456217454143,-0.0014037271188191008,0.002946009568886061,0.001802594549150697
2006M01,0.007816015509184327,0.0019747970163662837,0.0010497759877774319,-0.0013931536063199646,0.005157343762661941,0.002920955733934004
2006M02,0.0030197145195100007,0.002276002107575992,0.0013808198321453228,-0.0007968197529622215,0.005965105676450405,0.0023689644765439
2006M03,0.0034487911549981806,0.0025642264175740814,0.0017880203638705359,-0.00013622141084041828,0.006209758442142695,0.0027749149935490146
2006M04,0.0126960240092135,0.006387760593138334,0.0033921859694196212,0.0026131072154115505,0.012228136376882155,0.007463442832813032
2006M05,0.012985281961015959,0.011652644677698673,0.0064659346563482175,0.0069151745423803495,0.018224848973139002,0.01124877696211644
2006M06,-0.010021488239283002,0.0028276574837397673,0.0017009984688207416,0.0005877932324915589,0.006206430197386193,0.0002602782286310518
2006M07,0.0056316515173544576,0.00486347728650518,0.002200274499255513,0.0013472913676231824,0.007739254337244619,0.004356389801596591
2006M08,0.0031075850693871258,0.005093695068328869,0.0024888326661695426,0.0015032558541551934,0.007894243489647807,0.004017522429537708
2006M09,-0.0014525091242817726,0.002697916550745404,0.002063546568237391,0.001372769488704084,0.004287523209494217,0.0017938493385798646
2006M10,0.0003886380867584799,0.0018663171151333503,0.0020085312580965724,0.0021629995156929966,0.002485739793936557,0.001782445153923591
2006M11,0.007068563641676109,0.0034961647012314414,0.002248885882436164,0.002653497534086958,0.004019018204948937,0.003897225992875922
2006M12,0.002469735510163616,0.002929167134010404,0.0020306325235753425,0.001409741815699834,0.003783672909777481,0.0025245899786453356
2007M01,0.001765262782463245,0.0021245025693844522,0.0019188992735224735,0.00190758984117364,0.0016318434802675055,0.0018696195893622633
2007M02,0.005823989972662131,0.0030112387544713407,0.0023574905559926988,0.0017354121151446772,0.0011972637623236416,0.002825079032118898
2007M03,0.0008748216315841637,0.002332273237787407,0.002287365977531346,0.0013595082029764101,0.0032501766407601043,0.0020208291381278868
2007M04,0.004431406658906107,0.0017908169578830374,0.0023539829140584024,0.0010920164386700427,0.0031076969676676657,0.0025551839874370513
2007M05,0.0010424957230830694,0.00047156949674307216,0.0024137142704245703,0.001780063649867813,0.0023042836320957298,0.0016024253544428511
2007M06,0.001423565466519205,0.0017714409864965585,0.002336155876680862,0.0019020804232429199,0.002955104484531627,0.0020776694474942342
2007M07,0.0026067668178922547,0.0012856804180144713,0.002431725569505941,0.0018054410491097237,0.003515455519156898,0.002329013874735858
2007M08,0.0015501858882978937,0.0009584623861713515,0.002352520210735422,0.0024073224813998765,0.001800269949288961,0.001813752183178701
2007M09,0.005597150411526468,0.0023974908060288274,0.002327205264159309,0.0017806739032041824,0.0030098958169679424,0.003022483240377346
2007M10,0.006036801929816588,0.0037354716633237993,0.0025605282102927713,0.001816746383963205,0.0044948625608059595,0.003728882149640464
2007M11,0.007055544526552612,0.004212028800250952,0.0034961631755193352,0.001454702959387338,0.005120029653271576,0.004267693822996363
2007M12,0.0021878733266974034,0.003920549231975851,0.003086665717917732,0.00130329183661084,0.005339953282621882,0.003167666679164742
2008M01,0.009316540043916063,0.006573820756781757,0.004611658580263263,0.002259456227259481,0.007718045179897042,0.006095904157623521
2008M02,0.00731329404725458,0.007453032847891563,0.005501834587480295,0.0037894264762078685,0.01055727161373788,0.006922971914514438
2008M03,0.0076480581418415265,0.009977051567141001,0.007630199741305896,0.005700666695299392,0.013695906749738562,0.008930376579065275
2008M04,-0.0017203875139807563,0.006274276645059385,0.003660156732146319,0.0031186799815896165,0.009316822460016848,0.004129909660966283
2008M05,0.0014440037687331038,0.005912499626131593,0.0028355090281231097,0.0028758197165732187,0.008467255515812105,0.004307017531074627
2008M06,0.002891999075928421,0.006021984458112485,0.00228869536610731,0.0028446060715157013,0.006997914132902231,0.004209039820913229
2008M07,0.006697207046348316,0.00739710022329452,0.003471432191671266,0.0031467724251846916,0.007341132747440401,0.005610728926787839
2008M08,-0.005529405466171833,0.0034127857058952977,0.0024555373717446,0.0029768767302283243,0.0021944442663168794,0.0011020477216026538
2008M09,-0.0007872640985669447,0.0019811181188154475,0.0016385405233395717,0.0025072919219907655,0.0013688732258906313,0.0013417119382938942
2008M10,-0.002243218020498884,0.0006925720644087802,-0.0008316912276526735,0.0012108182811787138,-0.0015940326059840266,-0.0005531103017096179
2008M11,-0.0026820811297891684,-0.0006374580367434594,-0.0014984643894220342,-0.00030363892236290194,-0.004478461996970147,-0.0019200208950575421
2008M12,0.007094850903438678,0.0003598133095718491,0.0015758037896937685,0.0015233273995492408,-0.00284344137394379,0.0015420708056619492
2009M01,0.007239468506379252,0.00035259871880960437,0.003477807222846135,0.0024190752100938327,-8.10088179488684e-05,0.002681588168035991
2009M02,0.012407925829058229,0.0012033457004393955,0.0067669604607147795,0.0025633475127187634,0.0018975284928175388,0.004967821599149741
2009M03,0.001135571907898283,0.0007640377461450057,0.004864663384514296,0.0023191332034500772,0.0016813678587941725,0.002152954820160367
2009M04,-0.0005154825901729099,0.0006807622654869987,0.003307939515962887,0.00197672801852882,0.0008003361478596052,0.0012500566715330803
2009M05,0.007055557292838042,0.001308819218846532,0.0028830302994529463,0.001703157859143081,0.0025258314029123095,0.003095279214638582
2009M06,0.004917243222657276,0.0015095795372144533,0.0034504805398440403,0.002208528816394989,0.003120406944713751,0.003041247812164902
2009M07,0.0004520577853423919,0.001065301415738723,0.0034322363181183914,0.0023257182602445825,0.0031728497700222354,0.002089632709893265
2009M08,0.005028950837422795,0.0018766118871652447,0.0032473546300662934,0.0028151618449188806,0.003959893587699073,0.003385594557454457
2009M09,0.008289832025263486,0.0026088018368238845,0.003898993291373946,0.002633927777016653,0.0047205823145784614,0.004430427449011286
