,sup12_buy.csv,sup12_sell.csv,sup3_buy.csv,sup3_sell.csv,sup6_buy.csv,sup6_sell.csv,sup9_buy.csv,sup9_sell.csv,average
1997M06,-0.002088748672216407,-0.002457558586295092,-0.006778690840081746,-0.0062800061039623555,-0.009513857211373822,-0.002601344341761266,-0.0029064805239994874,-0.0019601764074697937,-0.004323357835894996
1997M07,-0.0018553300806349246,-0.002224474961881157,-0.0018326034635998386,-0.002168693905314066,-0.006907226610031098,-0.0026761473341695282,-0.0025615979817943447,-0.002255373132910966,-0.0028101809337919906
1997M08,-0.0017312695728234752,-0.0020880667770898083,0.002455188531155872,0.0002094508070995746,-0.00227156857456567,-0.0027799357100816006,-0.002369645802808092,-0.002567788373535008,-0.001392954434081026
1997M09,-0.001699064422027767,-0.0020481929445375314,0.004569964825379527,0.001266446637000698,-0.0003489951136766886,-0.002802403420976632,-0.002317772142142973,-0.002656619064452241,-0.000754579455679201
1997M10,-0.001633415199340776,-0.001890189033629659,0.012449493007932183,0.004883894362559449,0.001709923983475085,-0.003040033926602445,-0.0024266454953005656,-0.003395560018607707,0.0008321834600606954
1997M11,-0.001614211708251036,-0.0019565747536563647,-0.0019978562433084135,-0.0032377402666558075,-0.00126260829495372,-0.0027827625134001993,-0.0032760099211243017,-0.0029088342035500743,-0.0023795747381124897
1997M12,-0.0018098894369234547,-0.0021934681626047973,-0.019448945875920342,-0.01886501009027368,-0.004853292968267214,-0.0020699973824687963,-0.0030802151749203667,-0.001294551744120621,-0.006701921354437409
1998M01,-0.002885928733456909,-0.003151034822283327,-0.034870852720975974,-0.020369107127027865,-0.008049720129504822,-0.0023022890160776795,-0.0028588488388592154,-0.0008930837042832923,-0.009422608136558635
1998M02,-0.0034713514740519094,-0.0036806338899802154,-0.03522742265619803,-0.013207931778324444,-0.009527123671835737,-0.003237355405331503,-0.002933015527571678,-0.0023485291849710873,-0.009204170448533075
1998M03,-0.0040423907686162296,-0.004306309363091059,-0.025936697722398504,-0.015285439988812852,-0.01184037392764268,-0.00364668157871976,-0.003264783728366599,-0.002737803071707179,-0.008882560018669357
1998M04,-0.0036668111963300385,-0.003760246581597906,-0.0073699429703704186,-0.0053903075886878584,-0.010375959132992007,-0.0037882643618872888,-0.0029776501005614434,-0.0033946156980222473,-0.005090474703806152
1998M05,-0.0033096777891556003,-0.0034602589077832634,0.0027413689203360935,-0.0015534532910528266,-0.007935831733662234,-0.003764807854846025,-0.002755182532120968,-0.0035615054025089085,-0.0029499185738492166
1998M06,-0.004746322827225595,-0.004632475416758628,-0.015257818023680394,-0.01710480891593647,-0.009412887962980204,-0.0037449635182047617,-0.0036917422058889765,-0.0028033143552821187,-0.007674291653244644
1998M07,-0.004788443867097371,-0.004432331990851855,-0.016034969466221856,-0.009406023179614387,-0.006627076487660441,-0.00410465294167637,-0.003726247769124921,-0.0035794887071415836,-0.006587404301173598
1998M08,-0.005643262367026612,-0.004914839279358838,-0.022042831091861514,-0.013862013028240652,-0.00691073953323143,-0.004211192458688611,-0.004571711695547178,-0.0035090895141814235,-0.008208209871017032
1998M09,-0.0035001882133279473,-0.0037036195193997285,0.008602427293933151,0.003056520088054373,-0.0035622432443347778,-0.004390239528768116,-0.003808216639771841,-0.004459705552153531,-0.0014706581644710521
1998M10,-0.0042586331483425045,-0.004044301933368174,-0.005750147295870998,-0.003910499722102422,-0.005411774193993402,-0.004202632815568931,-0.004418289809034753,-0.003917040054504097,-0.00448916487159816
1998M11,-0.005901741576673563,-0.004769583309463724,-0.017312650572121155,-0.014128077367348417,-0.008261516008263536,-0.0039937535955999,-0.004615332940002312,-0.0032723141204844776,-0.007781871186244635
1998M12,-0.007857736616541456,-0.006217503718994097,-0.032064415296710544,-0.021663860888024765,-0.009999430578176689,-0.00468159564719547,-0.004860274334991785,-0.0037807617307284752,-0.01139069735142041
1999M01,-0.004974645079618681,-0.0044595979975577136,-0.011183436297843852,0.001373030176671371,-0.006484106105263843,-0.005098035100913227,-0.004398142583668324,-0.005122416375170885,-0.005043418670420644
1999M02,-0.005534125008518946,-0.004859936421200814,-0.008798428236945677,-0.005999918247158306,-0.008621784452230594,-0.004801759694631151,-0.004415095874856583,-0.004503600993202113,-0.005941831116093024
1999M03,-0.003940489950880857,-0.004081636106933575,0.011155703920774373,0.010172839918470756,-0.003937083100336039,-0.005596009710470183,-0.005251843457688854,-0.006012153618913776,-0.0009363340132472694
