,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
1995M10,0.002978612991560027,-0.007959175760300308,-0.009356736525068014,-0.002108784457015631,-0.0034860347169409066,-0.003986423693552966
1995M11,0.0006284495956516371,0.013498763281092544,-0.00585916635329758,0.003282486901480388,0.00020686584513802432,0.0023514798540130023
1995M12,-0.0006396080031391589,-0.007623204887395374,-0.0025255768786302778,-0.0015166876847472893,0.0011991295121094037,-0.0022211895883605393
1996M01,-0.005883667558223421,-0.008143542414415053,-0.004287112322647292,-0.010556418010350462,-0.0018983366931334452,-0.006153815399753934
1996M02,-0.0041140568631735045,-0.008095575520461343,-0.01116172495566927,-0.011689989811883867,-0.0005425259382653216,-0.007120774617890661
1996M03,-0.002289518113524394,0.01321965997034785,-0.007163647301185376,-0.007446499455293321,-0.002470913931479031,-0.0012301837662268542
1996M04,-0.0031449681650308533,-0.00789810591210136,0.004229768953847704,-0.004495427016335299,-0.0062900291303587185,-0.0035197522539957052
1996M05,-0.0008359566999965266,0.013018248068880899,0.011611298789983062,-0.008326861017046865,-0.0059726198900537575,0.0018988218503533626
1996M06,-0.007314825448420657,-0.0077223507735033215,-0.00880585657612673,-0.012947502304919357,-0.008053887720416335,-0.008968884564677279
1996M07,-0.011501709163986002,-0.00805734135060693,-0.00961209579425624,-0.012843941600685266,-0.008391837160262747,-0.010081385013959438
1996M08,-0.011479596576367703,0.011671776080912882,-0.010233578119816343,-0.011747427621496994,-0.010343312178198146,-0.00642642768299326
1996M09,-0.011259939508614042,-0.007926828821612351,-0.009672470142704547,-0.014477053706088336,-0.010791074383300174,-0.01082547331246389
1996M10,-0.011232233224907694,-0.008119087398454105,-0.009506722589720885,-0.014922358976579671,-0.010621439392622091,-0.010880368316456888
1996M11,-0.006146208376858973,0.011221582813109136,0.004353604995656214,-0.0054047833029674495,-0.0026103421495185086,0.0002827707958840839
1996M12,-0.004683222639064457,0.011276875869426072,0.009053017343492026,0.002945960117079708,-0.002089152188621258,0.003300695700462418
1997M01,0.0003952481050360484,0.01174855727804295,0.014786982492429547,0.011551860327344433,0.001281629347134194,0.007952855509997435
1997M02,0.0009410031205077662,0.011695595116378512,0.014670015157379071,0.011690643809081276,0.0012775690514045084,0.008054965250950227
1997M03,0.001652232114524782,0.011818077594009962,0.014786548872424074,0.01625594039590259,0.007722951781753076,0.010447150151722897
1997M04,0.00037227020631478216,-0.007227077535489217,0.0017056409931102134,0.014124836013901272,0.007647852280723408,0.003324704391712092
1997M05,0.0017712526243350707,0.011327399746882278,0.006040023153005178,0.013390856430306838,0.009009725748099766,0.008307851540525827
1997M06,0.005746543292863867,-0.006750727700715931,0.00206366956857606,0.01124360032876486,0.010067911120771107,0.004474199322051993
1997M07,0.007394839191909518,-0.006753509762563738,0.007569487152494437,0.0056867791603637495,0.011169093228016581,0.00501333779404411
1997M08,0.007824576809250876,0.011121984890242548,0.0026380760549178216,0.006690333612249992,0.009859413232999763,0.0076268769199322
1997M09,0.005708602375261086,-0.006526138723021676,-0.0049408423118411995,-0.0026962130389337965,0.0045141839894303065,-0.000788081541821056
1997M10,0.005294777141884595,-0.006729299003529931,-0.00617714193401168,-0.002312514484027693,-0.0002113104969025028,-0.002027097755317442
1997M11,0.001213256758844282,-0.006947708188353316,-0.010578646901588069,-0.011380381378967262,-0.0021508275577956214,-0.005968861453571997
1997M12,-0.0016084507490790219,-0.007379390360779255,-0.011132195681786033,-0.012827015776279156,-0.005787680286783141,-0.007746946570941321
1998M01,-0.005415230143122968,-0.007585586163482167,-0.011367616356305524,-0.013345908490933912,-0.005855048125490308,-0.008713877855866976
1998M02,-0.006294741250088573,-0.00765395177470662,-0.011410604661799908,-0.01632679182193428,-0.01008320684639868,-0.010353859270985612
1998M03,-0.007551980147860317,0.010456083754996811,-0.008914977178872168,-0.01501838917008585,-0.009324332072096691,-0.006070718962783643
1998M04,-0.006403111634901816,0.010389778567288285,-0.0016290132693938149,-0.01339427964307104,-0.008572113598508183,-0.003921747915717313
1998M05,-0.01075674769144093,-0.007536756724246369,-0.0061540867375645,-0.013753210770088502,-0.011066487181968197,-0.009853457821061699
1998M06,-0.011601167509852022,-0.00785793263003965,-0.010146340335824474,-0.013881214867249499,-0.011560253138380966,-0.011009381696269322
1998M07,-0.01133675529511508,-0.0077939245848046195,-0.01150208176988771,-0.013002072217032992,-0.011227210027355168,-0.010972408778839114
1998M08,-0.012870085314097442,-0.007791080645737478,-0.011450125412687022,-0.01266255374381444,-0.011009929574164107,-0.011156754938100099
1998M09,-0.010815007273492017,0.009899672398556499,0.003942517717142938,-0.009751185829436657,-0.007943664728520547,-0.0029335335431499568
1998M10,-0.011180555741523945,-0.007592580487208948,-0.0048173935399246515,-0.012427019453330176,-0.00821547096091237,-0.00884660403658002
1998M11,-0.010679715147578567,-0.007528280141071595,-0.0038113279808772932,-0.01093079143560562,-0.0077030931080447375,-0.008130641562635562
1998M12,-0.010914662614706883,-0.007809828140294494,-0.01146930659928332,-0.010924336139086815,-0.009619651380485511,-0.010147556974771405
1999M01,-0.011234890105459028,-0.008026488776450298,-0.011718744847598486,-0.012392547208046396,-0.01097382121258483,-0.010869298430027808
1999M02,-0.010991847693381093,-0.008003924557516322,-0.01164252422220854,-0.012230146292651064,-0.010523462236587972,-0.010678381000468997
1999M03,-0.011446831362737015,-0.007949664048434982,-0.011524709327321116,-0.016214050327592138,-0.009684492474651096,-0.011363949508147269
