,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2005M08,57.29166666666666,54.16666666666667,55.208333333333336,52.604166666666664,54.166666666666664,48.958333333333336
2005M09,57.291666666666664,54.16666666666667,56.25,54.166666666666664,54.16666666666667,47.916666666666664
2005M10,55.20833333333333,52.60416666666667,55.20833333333333,53.12499999999999,53.125,48.4375
2005M11,57.291666666666664,54.6875,56.77083333333333,53.64583333333333,54.16666666666667,50.52083333333333
2005M12,57.291666666666664,54.6875,56.77083333333333,56.25,56.25,50.52083333333333
2006M01,58.333333333333336,55.72916666666667,57.8125,57.8125,56.770833333333336,51.041666666666664
2006M02,57.29166666666667,54.6875,58.33333333333333,58.33333333333333,55.72916666666667,51.041666666666664
2006M03,59.375,55.729166666666664,58.33333333333333,58.33333333333333,55.72916666666667,51.5625
2006M04,61.45833333333333,57.8125,59.375,58.33333333333333,56.25,51.041666666666664
2006M05,59.89583333333333,57.81249999999999,57.291666666666664,56.25,54.6875,51.041666666666664
2006M06,61.458333333333336,59.375,56.25,55.72916666666667,53.125,51.041666666666664
2006M07,61.979166666666664,59.89583333333333,56.24999999999999,54.6875,54.6875,51.5625
2006M08,59.89583333333333,57.81249999999999,54.6875,52.604166666666664,54.166666666666664,50.0
2006M09,58.854166666666664,56.77083333333333,54.6875,52.604166666666664,54.6875,50.52083333333333
2006M10,58.854166666666664,56.770833333333336,55.20833333333333,52.60416666666667,56.770833333333336,51.5625
2006M11,60.41666666666667,58.854166666666664,57.291666666666664,53.12499999999999,55.20833333333333,52.60416666666667
2006M12,60.9375,59.375,56.25,52.08333333333333,54.6875,51.041666666666664
2007M01,60.41666666666667,59.895833333333336,56.25,52.60416666666666,55.208333333333336,50.52083333333333
2007M02,58.854166666666664,58.333333333333336,53.64583333333333,50.0,54.6875,49.479166666666664
2007M03,62.5,61.979166666666664,56.25,52.604166666666664,56.77083333333334,50.52083333333333
2007M04,65.10416666666666,64.58333333333333,56.24999999999999,54.6875,57.29166666666667,52.604166666666664
2007M05,64.58333333333333,64.0625,55.20833333333333,55.20833333333333,55.729166666666664,52.604166666666664
2007M06,66.66666666666666,66.14583333333333,55.729166666666664,56.77083333333333,55.729166666666664,53.12499999999999
2007M07,64.58333333333334,64.58333333333333,57.8125,56.77083333333333,56.25,53.64583333333333
2007M08,66.14583333333333,66.14583333333333,57.8125,58.333333333333336,56.25,54.6875
2007M09,67.1875,67.1875,57.8125,59.375,57.291666666666664,57.8125
2007M10,68.75,68.75,57.291666666666664,60.416666666666664,58.33333333333333,58.854166666666664
2007M11,66.66666666666667,67.1875,56.77083333333333,61.45833333333333,57.8125,58.854166666666664
2007M12,66.66666666666667,66.66666666666667,56.770833333333336,59.89583333333333,56.770833333333336,59.375
2008M01,67.1875,67.1875,56.77083333333333,60.41666666666667,57.29166666666667,59.375
2008M02,69.79166666666666,69.79166666666666,55.72916666666667,60.9375,59.375,59.375
2008M03,68.75,69.27083333333334,55.729166666666664,60.41666666666666,59.375,58.85416666666667
2008M04,68.22916666666667,68.75,55.20833333333333,59.37499999999999,59.895833333333336,58.33333333333333
2008M05,70.83333333333333,70.83333333333333,56.77083333333333,59.89583333333333,63.541666666666664,59.375
2008M06,70.3125,70.3125,57.29166666666667,61.45833333333333,64.0625,59.895833333333336
2008M07,67.1875,67.1875,57.291666666666664,59.89583333333333,61.458333333333336,58.854166666666664
2008M08,67.70833333333334,68.75,58.33333333333333,61.979166666666664,63.020833333333336,59.895833333333336
2008M09,67.70833333333334,69.79166666666667,58.854166666666664,62.5,63.541666666666664,59.375
2008M10,69.79166666666667,71.875,58.333333333333336,62.5,64.0625,58.333333333333336
2008M11,68.75,70.83333333333334,57.29166666666667,63.54166666666667,64.58333333333333,55.72916666666667
2008M12,67.70833333333334,69.27083333333334,56.25,63.541666666666664,62.5,56.25
2009M01,66.66666666666666,69.27083333333333,54.6875,61.45833333333333,61.458333333333336,54.6875
2009M02,66.66666666666666,68.75,55.20833333333333,63.020833333333336,61.97916666666667,55.20833333333333
2009M03,63.020833333333336,65.10416666666667,52.08333333333333,61.458333333333336,60.9375,55.20833333333333
2009M04,63.54166666666667,64.0625,52.08333333333333,60.9375,60.9375,53.64583333333333
2009M05,64.58333333333334,65.10416666666666,53.125,61.45833333333333,61.45833333333333,54.6875
2009M06,61.45833333333333,62.5,52.604166666666664,60.9375,60.9375,53.64583333333333
2009M07,64.0625,64.0625,51.5625,59.89583333333333,60.9375,54.166666666666664
2009M08,61.45833333333333,61.45833333333333,51.04166666666666,58.33333333333333,59.89583333333333,53.125
2009M09,60.9375,60.9375,50.0,55.729166666666664,59.375,52.08333333333333
2009M10,61.458333333333336,61.45833333333333,52.083333333333336,57.291666666666664,60.41666666666667,50.520833333333336
2009M11,64.0625,64.0625,53.125,58.33333333333333,63.02083333333333,51.041666666666664
2009M12,64.0625,64.0625,53.64583333333333,59.895833333333336,64.0625,51.041666666666664
2010M01,59.895833333333336,59.895833333333336,52.604166666666664,56.24999999999999,59.895833333333336,49.47916666666667
2010M02,58.333333333333336,58.33333333333333,54.166666666666664,57.8125,58.85416666666667,49.47916666666667
2010M03,59.375,58.85416666666666,53.125,57.29166666666667,59.375,49.479166666666664
2010M04,58.33333333333333,57.8125,52.083333333333336,55.72916666666667,57.291666666666664,48.4375
2010M05,57.8125,57.29166666666667,53.125,56.77083333333333,55.729166666666664,47.39583333333333
2010M06,55.72916666666667,55.729166666666664,52.60416666666667,55.20833333333333,54.6875,45.3125
2010M07,59.375,58.85416666666667,51.5625,57.29166666666667,56.25,46.35416666666667
2010M08,62.5,60.9375,51.5625,58.33333333333333,56.25,47.39583333333333
2010M09,64.0625,61.45833333333333,51.04166666666667,58.854166666666664,57.291666666666664,48.95833333333333
2010M10,64.0625,61.45833333333333,52.604166666666664,59.89583333333333,57.8125,51.041666666666664
2010M11,65.10416666666666,62.5,52.604166666666664,58.854166666666664,58.854166666666664,53.125
2010M12,68.22916666666667,66.14583333333334,54.6875,59.89583333333333,61.97916666666667,54.16666666666667
2011M01,69.79166666666667,66.66666666666667,56.77083333333333,61.458333333333336,63.02083333333334,55.729166666666664
2011M02,68.75,66.14583333333333,55.729166666666664,59.375,61.45833333333333,54.166666666666664
2011M03,72.39583333333333,69.79166666666666,58.333333333333336,59.375,61.979166666666664,55.72916666666666
2011M04,68.75,67.70833333333333,56.77083333333333,58.333333333333336,61.979166666666664,54.166666666666664
2011M05,66.66666666666666,65.625,55.72916666666667,57.291666666666664,61.45833333333333,51.5625
2011M06,68.75,67.1875,55.20833333333333,55.20833333333333,61.45833333333333,53.125
2011M07,67.1875,66.14583333333333,54.166666666666664,54.6875,60.416666666666664,52.08333333333333
2011M08,67.1875,65.625,54.6875,54.6875,59.375,52.60416666666667
2011M09,65.625,64.0625,54.6875,55.72916666666667,59.375,52.60416666666667
2011M10,66.14583333333333,64.58333333333334,54.6875,55.72916666666667,57.8125,53.125
2011M11,65.10416666666667,63.541666666666664,54.166666666666664,54.16666666666667,56.25,50.52083333333333
2011M12,61.979166666666664,60.9375,52.60416666666666,52.604166666666664,53.645833333333336,49.479166666666664
2012M01,65.10416666666667,63.54166666666667,54.6875,55.208333333333336,57.291666666666664,51.5625
2012M02,65.10416666666667,64.0625,53.125,53.125,56.25,50.52083333333333
2012M03,63.541666666666664,63.02083333333334,53.64583333333333,53.125,55.72916666666667,51.04166666666667
