,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2008M09,66.66666666666666,66.66666666666666,41.66666666666667,62.5,45.83333333333333,70.83333333333334
2008M10,70.83333333333334,70.83333333333334,41.66666666666667,66.66666666666666,45.83333333333333,70.83333333333334
2008M11,70.83333333333334,70.83333333333334,37.5,66.66666666666666,45.83333333333333,70.83333333333334
2008M12,66.66666666666666,66.66666666666666,37.5,66.66666666666666,41.66666666666667,70.83333333333334
2009M01,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,37.5,70.83333333333334
2009M02,66.66666666666666,66.66666666666666,37.5,70.83333333333334,33.33333333333333,70.83333333333334
2009M03,62.5,62.5,37.5,66.66666666666666,29.166666666666668,75.0
2009M04,62.5,62.5,33.33333333333333,66.66666666666666,33.33333333333333,70.83333333333334
2009M05,62.5,62.5,33.33333333333333,66.66666666666666,33.33333333333333,70.83333333333334
2009M06,58.333333333333336,62.5,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666
2009M07,58.333333333333336,62.5,33.33333333333333,62.5,33.33333333333333,62.5
2009M08,58.333333333333336,62.5,37.5,62.5,33.33333333333333,62.5
2009M09,58.333333333333336,62.5,41.66666666666667,62.5,37.5,62.5
2009M10,58.333333333333336,62.5,45.83333333333333,62.5,41.66666666666667,58.333333333333336
2009M11,62.5,66.66666666666666,50.0,62.5,45.83333333333333,58.333333333333336
2009M12,62.5,66.66666666666666,54.166666666666664,66.66666666666666,45.83333333333333,58.333333333333336
2010M01,58.333333333333336,62.5,54.166666666666664,62.5,41.66666666666667,58.333333333333336
2010M02,58.333333333333336,62.5,54.166666666666664,62.5,41.66666666666667,54.166666666666664
2010M03,58.333333333333336,62.5,50.0,62.5,45.83333333333333,54.166666666666664
2010M04,54.166666666666664,58.333333333333336,50.0,58.333333333333336,45.83333333333333,54.166666666666664
2010M05,54.166666666666664,58.333333333333336,50.0,58.333333333333336,45.83333333333333,50.0
2010M06,50.0,54.166666666666664,50.0,58.333333333333336,45.83333333333333,45.83333333333333
2010M07,54.166666666666664,58.333333333333336,50.0,62.5,45.83333333333333,45.83333333333333
2010M08,58.333333333333336,62.5,50.0,62.5,41.66666666666667,45.83333333333333
2010M09,62.5,66.66666666666666,54.166666666666664,66.66666666666666,45.83333333333333,45.83333333333333
2010M10,62.5,66.66666666666666,54.166666666666664,66.66666666666666,50.0,50.0
2010M11,62.5,66.66666666666666,58.333333333333336,62.5,54.166666666666664,50.0
2010M12,66.66666666666666,70.83333333333334,62.5,62.5,58.333333333333336,50.0
2011M01,66.66666666666666,70.83333333333334,66.66666666666666,58.333333333333336,62.5,54.166666666666664
2011M02,62.5,66.66666666666666,62.5,58.333333333333336,62.5,50.0
