,flt12_10_buy.csv,flt12_10_sell.csv,flt12_5_buy.csv,flt12_5_sell.csv,flt1_10_buy.csv,flt1_10_sell.csv,flt1_5_buy.csv,flt1_5_sell.csv,flt3_10_buy.csv,flt3_10_sell.csv,flt3_5_buy.csv,flt3_5_sell.csv,flt6_10_buy.csv,flt6_10_sell.csv,flt6_5_buy.csv,flt6_5_sell.csv,flt9_10_buy.csv,flt9_10_sell.csv,flt9_5_buy.csv,flt9_5_sell.csv,average
1994M06,-0.0009119931777239582,-0.0018353165415891219,-0.0015354961852027359,-0.0011081583385450637,-0.00034037205006902203,-0.00018909199870354124,-0.0018422268841355005,0.00035896908335193364,-0.00014701094122811275,0.0001130158235889446,-0.0023645887969025634,0.0011612346529302961,-0.00018348721324662747,-0.0008316827483008278,-0.002445950127896767,0.0012451766280247084,0.006195952481525567,-0.0007279555802028835,0.001676188324717799,0.0030266283957014425,-3.430825969530187e-05
1994M07,-0.0009549721791968844,-0.001847794710754758,-0.0015562985988345304,-0.0011467781142219713,-0.0003577725791935851,-0.00020729032915081983,-0.0018498896426077946,0.00033468864905376796,-0.00016777276663409638,9.093325592032212e-05,-0.0023689262693989905,0.0011227030866135979,-0.00020684301176205927,-0.000849047968091392,-0.0024502990204631663,0.0011883540603576138,-0.004083734014073448,-0.0007509783265485653,0.001599540247281801,0.002923598980969735,-0.0005769289625367613
1994M08,-0.003901168533270311,-0.0019895578686734677,-0.0017424872716666111,-0.0014147258434799416,-0.00044821810388941076,-0.00029752899126604,-0.0019379387639523466,0.00023087615048878802,-0.0002693346055154259,-9.535684198261303e-06,-0.0024680641925301414,0.000983702355692632,-0.00032219545218229015,-0.0009569396406725631,-0.0025688159520720413,0.00098752217377616,-0.00417577950079908,-0.0008877675236834036,-0.003385553876013324,0.0026409097975032187,-0.001096630066320193
1994M09,-0.00122708960269453,-0.001557388006176219,-0.0011944406872010185,-0.0006637627251378578,-0.00021308961880388,-6.659608782101588e-05,-0.0016686268881436993,0.0004819930502507965,-1.0623428817599075e-05,0.00023965605405759443,-0.0021463951225201626,0.001294049887418148,-2.7344278296257188e-05,-0.0006617067562719678,-0.0021810568385542805,0.001432022424381856,-0.003806300663717559,-0.0005178919040846675,-0.002931089307786361,0.003170395067352279,-0.00061276427162832
1994M10,-0.0034949135950781765,-0.0016068351042267696,-0.001262872559249826,-0.0007689123400812836,-0.00025048999039312467,-0.00010447761905995072,-0.0016987934355636911,0.00043611944067543896,-5.3482983807110756e-05,0.00019622101539715488,-0.002177663097256148,0.0012285826525598267,-7.592205576742049e-05,-0.0007041373233824752,-0.002218213548068681,0.0013367828688244687,-0.0038246145442820275,-0.0005725556129092745,-0.002964581535914504,0.0030223727455227015,-0.0007779193311030436
1994M11,-0.003668128769107625,-0.001820603396575235,-0.004105870829704764,-0.001156835352607108,-0.0003824268144705115,-0.00023562870129185856,-0.001832707113476894,0.0002874925333627807,-0.00020067445373277306,5.1486515620029476e-05,-0.002330702026443887,0.0010340852210190318,-0.00024288152947995215,-0.0008630790119696732,-0.002401119031462197,0.0010589680948419585,-0.003976543357706449,-0.0007726033664607002,-0.003164731040889879,0.0026486102422543564,-0.0011036946094140673
1994M12,-0.0038822619248088876,-0.0020786286891816587,-0.004371269599451735,-0.0016139142167695152,-0.0005410063563916973,-0.0003930800248642807,-0.0019957811682360864,0.0001101328903402218,-0.0003770455952660681,-0.00012162330507311793,-0.0025175992379463333,0.0008043158285259418,-0.0004426117566332933,-0.0010543823140255224,-0.002623899026609264,0.0007333869694449495,-0.004165545576602878,-0.0010121721828964415,-0.003409978658770326,0.00221862010027078,-0.0013367171922472605
1995M01,-0.003858406761622713,-0.0020730371669949307,-0.004334702450234431,-0.0016134877862237656,-0.0005480140890753308,-0.0004009687500884378,-0.001992835074007623,9.779738925850753e-05,-0.00038598030602834927,-0.00013212718331499857,-0.0025096895543650515,0.0007825296277308284,-0.0004521913774858208,-0.001058790379147743,-0.002613371141224848,0.0007035721844656983,-0.004141495302605993,-0.0010180904897948112,-0.003388841305283886,0.002158131427902409,-0.0013389999244070644
1995M02,-0.0038783476812678987,-0.0021153057897245983,-0.004353637171234054,-0.003807350412877594,-0.0005827469491953973,-0.0004362086665401837,-0.0020203701529438395,5.5419883096895814e-05,-0.00042544523786176223,-0.00017227291937096082,-0.0025375114731179386,0.0007232935412899591,-0.0004963276137644969,-0.0010972772538474051,-0.0026454853313862686,-0.0012653649145942113,-0.004156784012463398,-0.0010663186259302739,-0.0034164715887542523,-0.004174724473285879,-0.0018934618421886779
1995M03,-0.003739511415844006,-0.00198223936141001,-0.004173108408394212,-0.0016938567897041728,-0.0005149156776199458,-0.0003702098678595798,-0.0019358523365178184,0.00012450692914815406,-0.0003518724004115075,-0.00010255545986642537,-0.002434443256282718,0.0008036891911915975,-0.0004125248765182864,-0.0010099798055883658,-0.0025217544147696767,0.0006213411952040344,-0.004029404284548383,-0.0009583793763682369,-0.0032671070669471223,0.002033900062353847,-0.0012957138710376417
