,osc12_10_buy.csv,osc12_10_sell.csv,osc12_5_buy.csv,osc12_5_sell.csv,osc1_10_buy.csv,osc1_10_sell.csv,osc1_5_buy.csv,osc1_5_sell.csv,osc3_10_buy.csv,osc3_10_sell.csv,osc3_5_buy.csv,osc3_5_sell.csv,osc6_10_buy.csv,osc6_10_sell.csv,osc6_5_buy.csv,osc6_5_sell.csv,osc9_10_buy.csv,osc9_10_sell.csv,osc9_5_buy.csv,osc9_5_sell.csv,average
1993M07,-0.006611586870384122,-0.006611586870384128,-0.005479083274123395,-0.005479083274123397,0.012966863212951927,0.012966863212951915,0.012966863212951927,0.012966863212951915,0.011200142058580142,0.01120014205858014,0.010093103866192131,0.01009310386619214,-0.004929068466331853,-0.004929068466331861,-0.006064998673531712,-0.006064998673531711,-0.003924845956055294,-0.003924845956055289,-0.00351031042052706,-0.00351031042052706,0.0016707078689722683
1993M08,-0.006707173443105407,-0.006707173443105412,-0.00559480030259301,-0.005594800302593014,-0.009635170145600816,-0.009635170145600822,-0.009635170145600816,-0.009635170145600822,0.01076053887874501,0.010760538878745007,0.009686062072456321,0.009686062072456323,-0.005047229636035001,-0.005047229636035,-0.0061720535732620995,-0.006172053573262097,-0.00404911721577526,-0.004049117215775262,-0.003656104383269467,-0.0036561043832694737,-0.0030050217894040557
1993M09,-0.007118366633860007,-0.007118366633860017,-0.0060451087908079265,-0.006045108790807924,-0.010067631714966146,-0.010067631714966144,-0.010067631714966146,-0.010067631714966144,-0.00696272137471262,-0.006962721374712629,-0.006556011041243766,-0.006556011041243775,-0.005487974376653637,-0.005487974376653649,-0.006609830820515004,-0.006609830820515009,-0.004481170291141475,-0.004481170291141462,-0.004148587504612198,-0.004148587504612188,-0.006754503426347892
1993M10,-0.007532091853692954,-0.007532091853692945,-0.006497149668472767,-0.006497149668472774,-0.010502432097128778,-0.010502432097128783,-0.010502432097128778,-0.010502432097128783,-0.007432198509577739,-0.007432198509577739,-0.007043430370818201,-0.007043430370818201,-0.0059306153929203805,-0.0059306153929203735,-0.007049621542669363,-0.007049621542669355,-0.004915229734604202,-0.004915229734604207,-0.004641801090114887,-0.004641801090114888,-0.007204700235712805
1993M11,-0.007663388574266947,-0.007663388574266944,-0.006648825012999671,-0.006648825012999667,-0.010613909644753141,-0.010613909644753148,-0.010613909644753141,-0.010613909644753148,-0.007581608826944752,-0.007581608826944748,-0.007201887908889084,-0.007201887908889083,-0.006083587344912055,-0.006083587344912061,-0.007192914182211449,-0.0071929141822114455,-0.005072684996044229,-0.005072684996044219,-0.0048223561172910205,-0.004822356117291018,-0.007349507225306548
1993M12,-0.007020055549461723,-0.0070200555494617225,-0.005979276493399705,-0.005979276493399702,0.012527128153195663,0.012527128153195661,0.012527128153195663,0.012527128153195661,-0.006857876428712568,-0.006857876428712564,-0.006464288707041209,-0.006464288707041198,-0.005443623689988951,-0.005443623689988957,-0.006524841654968985,-0.006524841654968987,-0.004471960428687713,-0.004471960428687713,-0.004150558503084975,-0.004150558503084983,-0.0021858225148954505
1994M01,-0.006474956125652475,-0.006474956125652479,-0.005414356857084763,-0.005414356857084764,0.012988249472573397,0.01298824947257339,0.012988249472573397,0.01298824947257339,0.00988003343329924,0.009880033433299237,0.00885129029954572,0.008851290299545723,-0.004904049641314408,-0.004904049641314418,-0.0059601470706859595,-0.005960147070685964,-0.003966407678447949,-0.0039664076784479505,-0.0035872725141038175,-0.003587272514103817,0.0014400632790702364
1994M02,-0.005876564648281282,-0.005876564648281286,-0.004793507727175338,-0.004793507727175335,0.013526563608612662,0.01352656360861266,0.013526563608612662,0.01352656360861266,0.010504601218247216,0.010504601218247218,0.009472359791856509,0.009472359791856517,-0.004309861799107228,-0.0043098617991072195,0.012439993771909581,0.012439993771909597,0.012106723490935646,0.012106723490935646,0.00841786973766537,0.008417869737665371,0.00650147410532758
1994M03,-0.005715884553843819,-0.005715884553843828,-0.004636042074679462,-0.004636042074679466,0.013456555130299822,0.013456555130299825,0.013456555130299822,0.013456555130299825,0.01047881739279106,0.010478817392791058,0.009463510483233219,0.009463510483233219,0.011294355157633967,0.011294355157633969,0.01237203243091066,0.012372032430910649,-0.0034078584742159666,-0.003407858474215973,0.008427079818840838,0.008427079818840836,0.006518912044127012
1994M04,-0.005781369606540462,-0.005781369606540452,-0.004717518806269819,-0.004717518806269808,-0.009842022974520434,-0.009842022974520444,-0.009842022974520434,-0.009842022974520444,0.01012509022060978,0.010125090220609775,0.009136287330343008,0.009136287330343017,0.010832348165388682,0.010832348165388694,0.011915843244391008,0.011915843244391013,-0.0034972003463480447,-0.0034972003463480355,-0.002965996118570926,-0.002965996118570926,0.000536343813396238
